French,English
mesure,measure
atteindre,to reach
singe,monkey
pistolet,gun
frontière,frontier
réel,real
réfléchi,reflexive
somme,sum
agents,agents
ours,bear
prisonniers,captives
évidemment,obviously
afrique,Africa
allemand,German
dan,dan
couche,lying down
relations,relationship
texas,Texas
delà,of the
celles,those
navire,ship
deviens,become
bite,cock
laisses,leashes
dirige,directed
partenaire,partner
aube,dawn
demi,half
affreux,awful
camarade,comrade
street,street
inquiéter,worry
tableau,painting
fatiguée,weary
entreprise,company
demandes,requests
nana,girl
re,D
coincé,stuck up
tenu,tenuous
viré,fired
suspect,suspect
reconnais,recognize
ressens,feel
juif,Jewish
directement,directly
mexique,Mexico
cherché,look for
marine,Marine
prisonnier,prisoner
finit,ends
howard,howard
étoile,star
jean,Jeans
convaincre,to convince
filer,spin
kevin,kevin
bosse,bump
pousser,to push
protection,protection
signé,sign
crier,to cry out
rêvé,dream
respirer,to breathe
propriétaire,owner
prêtre,priest
donnes,give
taire,to hush up
permettre,to permit
prudent,careful
carl,carl
commis,clerk
chaîne,chain
copains,friends
sec,dry
cauchemar,nightmare
laver,wash
hollywood,hollywood
jeff,jeff
réfléchis,thoughtful
trompe,deceived
hais,hate
immeuble,building
supporter,support
soi,self
bagages,baggage
tir,shoot
traverser,to cross
commissaire,commissioner
mac,mac
donnerai,give
reviendrai,return
larmes,tears
déranger,to bother
Arthur,Arthur
pigé,cottoned
réserve,Reserve
adam,Adam
volant,flying
uniforme,uniform
st,st
croient,believe
différents,different
souffrir,to suffer
maudit,damn
valise,suitcase
prendrai,take
assurance,assurance
abandonné,abandoned
dames,ladies
lendemain,the following day
navré,heartbroken
prennent,takes
sénateur,senator
roule,rolled
montagnes,mountains
lapin,rabbit
juifs,Jewish
amuse,amused
espérais,hoped
fleur,flower
merveilleuse,wonderful
tournée,tour
scott,scott
information,information
foyer,foyer
tourné,turned
personnage,character
permettez,allow
amitié,friendship
hâte,haste
opinion,opinion
curieux,curious
concert,concert
enfance,childhood
extraordinaire,extraordinary
davantage,any further
saviez,knew
chargé,charge
porc,pork
recommence,start again
chèque,check
piano,piano
jouez,play
océan,ocean
ayant,having
go,go
pattes,paws
ravie,thrilled
trace,trace
réveillé,wake up
miles,miles
soupe,Soupe
sucre,sugar
écoutes,plays
vierge,Virgin
mauvaises,bad
objet,object
adorable,adorable
chine,China
sonne,sounds
envoyez,send
réputation,reputation
kate,kate
sport,sport
brave,brave
lieux,places
brûle,burns
russes,Russian
murs,walls
second,second
etes,are
facilement,easily
troupes,troops
titrage,titration
canon,gun
bague,Ring
bâtiment,building
seraient,would
cellule,cell
Susan,Susan
survivre,to survive
trouverai,find
printemps,spring
voisins,neighbors
nuits,nights
chances,odds
contrôler,control
compliqué,complicated
voyais,see
retirer,to withdraw
ancienne,Ancient
théorie,theory
avancez,advance
studio,studio
exploser,explode
explosion,explosion
fiancée,fiancee
évident,obvious
gardé,keep
accusé,accused
Annie,Annie
témoins,witnesses
désir,desire
humanité,humanity
amen,Amen
magie,magic
restera,will stay
palais,palace
cirque,circus
cinglé,crazy
conduis,lead
sales,dirty
traces,footsteps
station,station
construire,to build
joey,joey
siège,seat
Kelly,Kelly
semblait,appeared
vivants,living
voient,see
représente,represented
sombre,dark
lourd,heavy
lá,the
familles,families
égal,equal
surveille,monitors
terme,term
gêne,uncomfortable
poule,chicken
pére,father
devraient,should
soif,thirsty
haine,hatred
Rachel,Rachel
Jason,Jason
surveiller,to watch
ted,ted
marin,marine
procureur,prosecutor
traité,treaty
vivent,live
chansons,songs
souvenez,remember
entière,complete
résultat,results
préparé,prepare
top,top
enchantée,Nice to meet you
gardien,Guardian
traite,treaty
avancer,moving forward
commun,common
pêche,peach
tien,yours
posé,laid
libérer,to free
gamins,kids
taule,slammer
retournez,return
médicaments,medications
matériel,equipment
crâne,skull
région,region
débile,stupid
science,science
délicieux,delicious
privée,private
créature,creature
ho,ho
ed,ed
king,king
liquide,liquid
réglé,rule
gay,gay
apprend,learn
quant,as to
péché,peach
répéter,repeat
auprès,with
tâche,task
devine,guess
mener,lead
vente,sale
plu,enjoyed
joueur,player
modèle,model
aurons,will
up,up
mensonges,lies
fermez,close
traiter,to treat
secteur,sector
soyons,let's
barre,Rod
appelée,called
projets,projects
roman,novel
veille,standby
étudier,to study
tenue,outfit
physique,physical
passait,going
concours,competition
jaune,yellow
inconnu,unknown
victor,victor
vision,vision
black,black
lentement,slowly
surface,area
dick,dick
com,com
matt,matt
kilomètres,kilometers
baise,fuck
x,x
sers,serve
abandonne,abandoned
vivante,alive
spéciale,special
prof,teacher
poissons,Pisces
bosser,work
cherchais,looking
my,my
empire,empire
cigarettes,cigarettes
amies,friends
aventure,adventure
responsabilité,responsibility
sauve,Safe
devrions,should
lucy,lucy
atteint,hit
infirmière,nurse
humeur,mood
descendez,down
résultats,results
tenté,attempted
baisse,decrease
mn,mn
rare,rare
empreintes,fingerprints
proches,relatives
sauvage,Savage
virer,fire
fumée,smoke
lisa,lisa
engagé,engaged
romantique,romantic
cloche,Bell
brian,brian
magique,Magic
chers,Dear
comité,committee
choisis,choose
voila,here
jaloux,jealous
divorce,divorced
lord,lord
données,data
détective,detective
rouges,red
fred,fred
ambulance,ambulance
rentrée,return
port,Harbor
anne,anne
roy,roy
cochon,pig
enfuir,escape
devra,will
francisco,francisco
ménage,housework
roger,roger
particulier,particular
journaliste,journalist
croix,cross
pareille,like
royaume,kingdom
disparaître,vanish
jus,juice
comte,county
sainte,holy
soucis,worry
allemagne,Germany
patience,patience
fallu,took
net,net
suivez,follow
panique,panic
q,q
morceaux,parts
construit,built
crédit,credit
rater,to fail
normale,par
attendait,expected
bye,bye
fromage,cheese
embrasse,embrace
complet,full
bouffe,food
boutique,shop
seriez,would
recommencer,restart
scénario,scenario
jeudi,Thursday
endroits,places
brûler,to burn
nommé,appointed
mardi,Tuesday
hall,lobby
réalisé,realized
terry,terry
passion,passion
enlevé,removed
profond,deep
télévision,television
abruti,fool
réussir,to succeed
répond,respond
red,red
emmené,driven
cadeaux,gifts
remonter,ride up
accompagner,accompany
johnson,johnson
différente,different
tromper,to trick
pot,pot
lien,link
serpent,snake
imaginez,imagine
excusez,excuse
trompé,deceived
cadavre,corpse
bouton,button
cancer,Cancer
descend,down
centaines,hundreds
poussière,dust
piscine,pool
entraînement,coaching
terminée,completed
tapis,carpet
esprits,minds
phil,phil
inviter,invite
œuvre,work
imagination,imagination
chut,hush
park,park
existence,existence
empereur,emperor
décide,decided
eric,eric
ascenseur,lift
criminel,criminal
révolution,revolution
principal,main
terres,land
charmante,lovely
promesse,promise
période,period
craint,fears
croyait,thought
courrier,mail
récemment,recently
écran,screen
anciens,old
cris,shouting
passes,passes
combattre,combat
réveille,wake up
feront,will
élevé,raised
têtes,heads
souffre,suffer
quiconque,whoever
malheureux,unfortunate
césar,Caesar
arrives,arrived
empêche,stop
brisé,broken
garage,garage
russie,Russia
Jackson,Jackson
bêtes,beasts
tenter,to attempt
excellente,excellent
passent,spend
ferez,will
pub,pub
logique,logic
version,version
permet,allow
parte,parte
temple,temple
section,section
rythme,rhythm
propriété,property
étrangers,foreign
finis,finished
erreurs,errors
feriez,would
propose,offers
examen,exam
nation,nation
approchez,approaching
différentes,different
traduction,translation
reconnu,recognized
cap,cape
meurtres,murders
courageux,brave
profiter,enjoy
juré,sworn
miel,honey
poil,hair
rapports,reports
chic,chic
fonds,funds
aimerait,would
sable,sand
lutte,struggle
fière,proud
is,is
japon,Japan
douze,twelve
labo,lab
ya,ago
agence,agency
cependant,However
indiens,Indian
donnera,will give
restent,remain
ceinture,belt
seins,bosom
étonnant,surprising
uns,each
nourrir,to feed
inventé,invented
sérieuse,serious
ment,is lying
pratique,convenient
invite,invites
potes,friends
meurtrier,murderer
vegas,vegas
idéal,ideal
maîtresse,teacher
central,central
fume,smoke
équipage,crew
brillant,bright
trouvent,find
crie,calls out
laura,laura
commission,commission
nager,swim
boit,drinking
bombes,bombs
figure,figure
revolver,revolver
crème,cream
rat,rat
tempête,storm
refaire,remake
née,born
supporte,supports
crever,die
conduite,conduct
lci,lci
brown,brown
pure,clean
traitement,treatment
porté,door
voyait,saw
cabine,cabin
fuite,leak
nationale,national
estomac,stomach
machines,machinery
julie,julie
couloir,corridor
emily,emily
ouah,Wow
bijoux,jewelry
lâcher,release
acteurs,cast
sentez,feeling
couleurs,colors
naturel,natural
travaillait,was working
Wilson,Wilson
incendie,fire
camarades,comrades
chute,fall
accompagne,accompanied
passés,past
médecins,doctors
revenue,returned
peinture,painting
reconnaître,to acknowledge
dollar,dollar
coupez,cut
prénom,first name
puce,chip
pur,pure
prier,pray
actions,stock
voisin,neighbor
officiers,officers
prévenu,warned
chaude,hot
bains,baths
démon,Devil
pierres,stone
miroir,mirror
forcément,necessarily
lumières,lights
actrice,actress
jouait,played
vérifie,checked
comportement,behviour
avoue,confesses
aient,have
buvez,drink
calmer,calm
amy,amy
technique,technical
nôtres,ours
obtenu,got
autrefois,in the old days
parlera,talk to
Ryan,Ryan
boss,boss
parier,to bet
correct,correct
septembre,September
libres,free
affronter,face
doué,gifted
appellent,call
repose,rests
conditions,terms
parfum,perfume
protège,protected
tasse,Cup
pensée,thought
salaire,salary
bagnole,wagon
infos,information
jolies,pretty
récompense,reward
kim,kim
essayons,try
ordinaire,ordinary
jeunesse,youth
musée,Museum
bébés,babies
chuck,chuck
plaisantes,pleasant
absence,absence
aiors,came to pass
échappé,escaped
fausse,fake
jury,jury
étudiants,students
approcher,approach
espagne,Spain
aprés,after
blonde,blonde hair
condition,condition
race,race
vend,sells
absurde,absurd
masque,mask
appellerai,call
pardonner,to forgive
pouvoirs,powers
laissée,left
annoncer,announce
origine,origin
el,el
apprends,learn
poitrine,chest
tape,slap
remis,handed
couvert,covered
large,large
prenons,take
pressé,hurry
nu,naked
loup,Wolf
urgent,urgent
attente,waiting
bêtises,foolery
appels,call
mystère,mystery
travailles,are working
vélo,bike
vends,sell
armé,armed
réaction,reaction
flotte,fleet
bleue,blue
foot,football
foutez,kidding
virus,virus
oeufs,eggs
élève,student
daniel,daniel
êtres,beings
vengeance,revenge
stan,stan
essayais,tried
minable,seedy
cérémonie,ceremony
gordon,gordon
uniquement,uniquely
salauds,bastards
alan,alan
froide,cold
helen,helen
portée,scope
disque,disk
attaqué,attack
résoudre,to resolve
moche,ugly
scientifique,scientist
colle,glue
lady,lady
maximum,maximum
déclaration,declaration
installer,to install
blessés,wounded
effort,effort
iras,go
commandement,commandment
panne,breakdown
visiter,to visit
disiez,tell
venais,came
pointe,point
moque,laughs
chambres,bedrooms
convaincu,convinced
raisonnable,reasonable
aiiez,aiiez
rencontrés,met
qualité,quality
aimée,loved
irait,would
épousé,marry
attitude,attitude
joseph,joseph
esclave,slave
milliards,billion
guide,guide
oeuvre,work
humour,humor
bible,Bible
boule,ball
sacs,bags
avocats,lawyers
yo,yo
meurent,die
connaissait,knew
union,union
ex,ex
sally,sally
blesser,to injure
taylor,taylor
maggie,maggie
perdus,lost
malades,ill
jungle,jungle
jugement,judgement
essai,test
écrivain,writer
digne,worthy
survécu,survived
julia,julia
vérifié,checked
linda,linda
brûlé,burnt
noble,noble
sauté,jumped up
gâcher,mess
inquiet,worry
enterrement,burial
prenne,take
site,site
engager,to hire
rayon,Ray
traîner,drag
rang,rank
traître,traitor
berlin,Berlin
parlant,speaking
orange,orange
jenny,jenny
voudras,will want
sentais,Smelt
bourse,stock Exchange
élèves,students
manques,shortages
faisaient,were doing
partage,share
légende,legend
cave,cellar
voleurs,thieves
fruits,fruits
préviens,forewarn
connaissent,know
venant,from
policiers,police
paire,pair
pommes,apples
meilleures,best
cassette,cassette
sommet,Mountain peak
remplacer,to replace
objets,objects
idiots,idiots
cage,cage
saurais,know
limite,limit
ailes,wings
explication,explanation
ô,oh
bond,jump
floride,Florida
travaillez,working
carter,box
conseiller,to advise
portait,wore
condamné,sentenced
voyant,seeing
recule,recedes
bénisse,bless
associé,associate
auteur,author
écouté,listen
sorcière,witch
edward,edward
livrer,deliver
plainte,complaint
réellement,Actually
albert,albert
adulte,adult
pile,battery
communauté,community
mandat,mandate
éducation,education
ramené,brings back
réponses,responses
bagarre,fight
escalier,stairs
naturellement,naturally
désire,longed for
lignes,lines
incident,incident
kilos,kilos
rats,rats
quinze,fifteen
parties,parts
véhicule,vehicle
wayne,wayne
chasser,hunt
bottes,boots
objectif,objective
patients,patients
suivante,next
respecte,respects
attrapé,caught
junior,junior
colline,hill
professionnel,professional
devoirs,homework
conseils,advice
effets,effects
fichu,damn
blessure,injury
messages,posts
baby,baby
crimes,crimes
moscou,Moscow
villes,cities
voudra,want
moto,motorbike
domaine,domain
organisation,organization
aimable,friendly
forts,strong
eue,had
exercice,exercise
voyager,travel
arrestation,arrest
fasses,fasses
pizza,pizza
barbe,beard
french,french
dossiers,records
tunnel,tunnel
voudrez,want
arrivait,was coming
roses,roses
amiral,admiral
cabinet,office
mére,mother
poursuivre,to pursue
forcé,strength
huile,oil
grosses,large
ranger,tidy
furieux,mad
vivait,lived
aidera,help
géant,giant
tim,tim
tours,towers
retire,took of
vote,vote
autorisation,authorisation
risqué,risk
hitler,Hitler
rond,round
show,show
territoire,territory
venger,revenge
exprès,on purpose
tuerai,kill
anges,angels
classique,classical
soutien,support
rentres,come home
tokyo,tokyo
proposition,proposal
love,love
tests,tests
pétrole,oil
réaliser,to achieve
sortira,released
soirs,night
ministère,ministry
magazine,magazine
verres,glasses
échec,failure
vieilles,old
pourrions,could
bol,bowl
plaire,to please
miller,miller
respecter,respect
cons,cons
golf,golf
bibliothèque,library
attirer,to attract
drapeau,flag
possède,possesses
production,production
conférence,conference
efforts,efforts
pere,father
putains,whores
précieux,precious
religion,religion
rêver,dream
épreuve,test
retenir,to hold onto
football,soccer
Frankie,Frankie
échoué,failed
pisser,piss
Barry,Barry
sortes,kinds
circonstances,circumstances
kong,kong
mignonne,cute
excellence,Excellency
auto,car
do,do
vague,wave
arrêtes,stop
nôtre,our
vallée,valley
Morgan,Morgan
enterré,buried
tandis,while
duc,duke
pêre,father
assassiné,killed
ooo,ooo
charme,charm
quart,quarter
arrangé,fixed
guitare,guitar
remplir,to fill
Sophie,Sophie
crève,bursts
Jesse,Jesse
Bruce,Bruce
Sara,Sara
refuser,refuse
donnent,give
Luke,Luke
taper,type
critique,critical
secrète,secret
terminer,to end
hauteur,height
comédie,comedy
cimetière,graveyard
baisé,fucked
cardiaque,cardiac
Catherine,Catherine
chiffres,figures
fêter,to celebrate
trouverez,find
indien,Indian
altesse,highness
occupée,occupied
intelligente,smart
culture,culture
deviner,to guess
géniale,great
limites,limits
Nancy,Nancy
précis,precise
éternité,eternity
ball,ball
plateau,plateau
prises,taken
viendrai,will come
rempli,completed
clairement,clearly
intérêts,interests
langage,speech
aides,aids
feux,fires
Betty,Betty
copie,copy
profondément,deeply
fâché,angry
incapable,unable
mercredi,Wednesday
souffrance,pain
avouer,confess
mile,mile
posez,place
lion,Lion
ali,ali
soigner,to tend to
fenêtres,Windows
pue,stinks
électrique,electric
italien,Italian
traversé,through
réception,reception
énerve,irritated
rentrons,returned
couvrir,cover
fonce,dark
Harvey,Harvey
Kyle,Kyle
produits,products
loyer,rent
grace,Grace
bleus,blue
assistant,assistant
cervelle,brain
trente,thirty
yeah,yeah
saches,know
national,national
avenue,Avenue
evidemment,obviously
reçois,get
cité,cited
liaison,connection
prouve,proves
collier,necklace
aprês,after
séance,session
placard,cupboard
criminels,criminals
irais,go
riz,rice
sandwich,sandwich
boston,Boston
parlerai,will speak
places,seats
stade,Stadium
gagnant,winner
moral,moral
tendre,tender
fleuve,River
mêre,mother
stanley,stanley
trouvait,was
auparavant,previously
personnellement,personally
fièvre,fever
champs,fields
tuera,kill
chatte,cat
actes,actions
restait,remained
amant,lover
concernant,regarding
las,the ace
ferons,will
cherchent,they search
tenait,held
exécution,execution
ann,ann
lou,lou
pédé,homosexual
prière,pray
hélas,Alas
sortent,out
bateaux,boats
allaient,going
durer,last
assise,seated
alarme,alarm
commencez,start
furent,were
prenait,taking
brad,brad
entièrement,entirely
médecine,medicine
juillet,July
sortis,out
sensible,sensitive
poudre,powder
finale,final
plais,take pleasure
durs,hard
discussion,discussion
séparer,to separate
esclaves,slaves
instructions,instructions
beurre,butter
documents,Documents
taré,tare
rick,rick
détail,detail
baron,baron
mettent,put
congrès,Congress
épaule,shoulder
poison,poison
final,final
métro,Metro
attendrai,wait
serment,oath
chan,chan
pardonne,forgiven
espagnol,Spanish
supérieur,superior
w,w
degrés,degrees
rires,laughs
west,west
parker,parker
tuez,kill
œufs,eggs
fiancé,fiance
nerfs,nerves
portefeuille,wallet
robot,robot
internet,Internet
expert,expert
hank,hank
surveillance,oversight
foutue,damn
rita,rita
réalisateur,director
entraîner,train
martha,martha
descendu,down
patrick,patrick
comté,county
congé,leave
finira,will end
caméras,cameras
sauce,sauce
balance,balance
destruction,destruction
moderne,modern
Carlos,Carlos
extrêmement,extremely
âmes,souls
expression,expression
marchera,walk
commerce,trade
ivre,drunk
salopard,bastard
appétit,appetite
dette,debt
all,all
promener,to take a walk
employés,employees
admettre,admit
producteur,producer
attendons,expect
quittez,exit
brise,broken
wow,wow
juin,June
chats,cats
remets,commit
ajouter,add
couler,to flow
Pasteur,Pastor
alliez,go
portrait,portrait
heu,er
by,by
lancé,spear
diamants,diamonds
donnée,given
avantage,advantage
fidèle,loyal
juger,judge
renseignements,information
gang,gang
loué,rented
réseau,network
ouverture,opening
travaux,works
poussé,driven
division,division
invitation,invitation
repartir,to share out
trous,holes
rappelez,remember
totale,Total
solide,solid
réservé,Reserve
Willie,Willie
autorité,authority
fermée,closed
munitions,ammunition
neveu,nephew
diras,tell
téléphoner,call
briser,to break
siècles,centuries
nerveuse,nerve
bonbons,candy
blé,corn
pourri,rotten
puits,well
fantômes,ghosts
termine,ended
monstres,monsters
écraser,to crush
espérons,hope
bétail,livestock
miens,mine
changera,change
adultes,adults
restée,remained
total,total
fierté,pride
pari,bet
sein,breast
cessez,ceasefire
Elizabeth,Elizabeth
exige,required
étudiant,student
Jackie,Jackie
démarre,started
lâchez,release
Marty,Marty
passons,spend
vic,vic
semblez,seem
gérer,to manage
électricité,electricity
invitée,invited
injuste,unfair
désirez,wish
lampe,lamp
normalement,normally
causer,cause
dalle,slab
mondiale,World
comptez,count
rouler,to roll
filmer,filming
rapporte,reports
sourd,deaf
trouveras,find
alliance,alliance
convient,agrees
rage,rage
habitants,inhabitants
Mamie,granny
nuages,clouds
hmm,hmm
trahi,betrayed
biens,goods
Lewis,Lewis
tournage,shooting
créatures,creatures
militaires,military
blessures,injury
barbara,barbara
Louise,Louise
règlement,settlement
grant,grant
étudié,studied
courez,run
habiller,dress
soeurs,sisters
soins,care
célibataire,single
veuve,widow
Canada,Canada
dépêche,telegram
progrès,progress
dégoûtant,disgusting
fan,fan
matière,matter
avril,April
molly,molly
cercle,circle
Davis,Davis
nucléaire,nuclear
pervers,perverse
échelle,ladder
adorer,love
trouvais,found
orchestre,orchestra
déposer,to file
cadavres,corpses
échappe,escapes
emprunter,to borrow
exprimer,to express
caractère,character
libéré,released
signes,signs
fêtes,holidays
vedette,star
lisez,read
commençons,start
robin,robin
généreux,generous
méchants,bad guys
formation,training
bâton,stick
timide,timid
gentils,friendly
premières,first
passagers,passengers
immense,immense
serviette,napkin
mangez,eat
diriger,lead
passant,passing
Ruth,Ruth
min,min
préférée,favorite
perdez,lose
plaque,plaque
espion,spy
connue,known
eaux,waters
deviennent,become
emporter,to take with
Gary,Gary
cruel,cruel
citoyens,citizens
von,von
tension,voltage
ranch,ranch
Karen,karen
business,business
your,your
organiser,to organise
étonne,surprised
terroristes,terrorists
that,That
micro,microphone
ordure,filth
léger,light
température,temperature
unités,units
populaire,popular
joueurs,players
beth,beth
vincent,vincent
voies,way
regardais,watching
saloperie,trash
traverse,crossing
intelligence,intelligence
expériences,experiences
Miami,Miami
opérations,operations
santa,santa
arrange,arranges
dragon,dragon
sûrs,safe
enterrer,bury
pouviez,could
craindre,to fear
mortel,deadly
issue,outcome
demeure,remains
mouche,fly
donna,gave
octobre,October
commandé,order
passeport,passport
dés,from
couronne,Crown
oublierai,forget
accusation,charge
procédure,procedure
rendez,appointment
objection,objection
retourné,return
relax,take it easy
publique,public
appart,apartment
imagines,imagine
jouent,are playing
inde,India
travaillent,working
essaies,try
Lincoln,Lincoln
psy,psy
Vince,Vince
manuel,manual
étranges,strange
apres,after
nombreuses,many
crainte,fear
fit,made
asile,asylum
cherchait,sought
branche,plugged
groupes,groups
white,white
hop,hop
tradition,tradition
sel,salt
centrale,power plant
déçu,disappointed
tentative,attempt
négatif,negative
autorités,authorities
buter,abut
connerie,bullshit
proposé,offers
manières,manners
plaindre,complain
employé,employee
blessée,wounded
influence,affecting
forcer,force
bonté,goodness
Marcus,Marcus
CIA,CIA
sauvages,wild
personnelle,personal
couvre,covers
coucou,Cuckoo
audience,audience
out,out
savaient,knew
entretien,maintenance
bouffer,eat
ouai,yeah
impressionnant,impressive
acier,steel
renvoyer,return
salade,salad
collègues,colleagues
chefs,heads
guérir,to cure
entendue,heard
sœurs,sisters
êtait,was
semblent,appear
participer,to participate
coule,flows
dépasse,outrun
réunis,together
plairait,would please
enlevez,remove
trompes,tubal
résister,resist
technologie,technology
patrie,country
conséquences,consequences
Margaret,Margaret
cousine,female cousin
habits,clothes
splendide,splendid
Ross,Ross
pipe,pipe
abattu,beaten down
cran,guts
nue,naked
tuyau,pipe
accueillir,to welcome
découverte,discovery
arracher,to tear out
régime,diet
reçoit,receives
album,album
levez,lift
piqué,dive
original,original
remise,delivery
allume,alight
promotion,promotion
juan,juan
examiner,look
franc,franc
filé,yarn
éteint,off
canapé,sofa
commander,order
dessin,design
guère,hardly
interroger,question
oscar,Oscar
paraître,look
découvre,finds
département,department
vise,aims
obéir,to obey
renforts,reinforcement
lily,lily
événements,events
innocents,innocent
ç,vs
organisé,organized
sain,healthy
devras,will have
reprends,resume
goutte,drop
cole,cole
souffert,suffered
excitant,exciting
façons,manners
saurai,know
charlotte,charlotte
sou,sou
réveil,awakening
ken,ken
benny,benny
usa,USA
volée,flight
préférerais,rather
suprême,supreme
tarte,tart
changent,change
revienne,return
solitaire,solitary
cravate,tie
rocky,rocky
vérifiez,check
ose,dare
souper,supper
événement,event
remarque,remark
chevalier,knight
suffisamment,enough
charger,load
produire,produce
repris,taken back
record,record
carol,carol
williams,williams
jo,jo
préparez,ready
garce,bitch
mêle,mixes
étape,stage
motel,motel
pro,pro
autorisé,authorized
principale,primary
clinique,clinical
devenus,become
italie,Italy
intéressante,interesting
jonathan,jonathan
abattre,tear down
ère,time
invisible,invisible
dégâts,damages
clark,clark
élever,raise
suggère,suggests
rigole,laugh
dent,tooth
éclater,to burst
tabac,tobacco
disques,discs
manquait,missing
contacter,contact
valait,worth
fusils,guns
émotions,emotions
queje,that I
publicité,publicity
simples,simple
éléments,items
exception,exception
sincère,sincere
rattraper,catch up
efficace,effective
éteindre,switch off
linge,laundry
goûter,to taste
nathan,nathan
possibilité,possibility
canard,duck
marqué,Mark
caporal,Corporal
déplacer,move
devrez,will
morale,morals
insiste,insists
katie,katie
parking,car park
identifier,identify
pouvaient,could
personnages,characters
cabane,hut
intéressé,interested
stylo,pen
adoré,loved
attaché,attached
cri,shout
kg,kg
angle,angle
séparés,separated
traîne,dragged
instinct,instinct
déclaré,declared
sire,sire
pleut,rains
séjour,stay
ordures,garbage
Raymond,Raymond
délire,delirium
pires,worse
rumeurs,rumors
fauteuil,armchair
coûté,cost
adjoint,deputy
Stephen,Stephen
collègue,coworker
one,one
poches,pockets
novembre,November
illégal,illegal
restons,stay
bonhomme,fellow
appuie,supports
difficiles,difficult
laissera,leave
courte,short
lâ,the
tuent,kill
lot,lot
levé,survey
seules,only
vivez,live
personnalité,personality
leo,leo
scandale,scandal
conclu,concluded
frigo,fridge
admire,admires
aïe,Ouch
tragédie,tragedy
oblige,obligatory
commandes,orders
pénis,penis
boue,mud
dettes,liability
enseigne,teaches
obscurité,darkness
pages,pages
chapitre,chapter
violent,violent
signature,signature
conseille,advises
vendeur,seller
visages,faces
rarement,rarely
essayait,was trying
serré,greenhouse
mères,mothers
tels,such
halte,halt
collection,collection
désastre,disaster
noix,nuts
mourra,die
rejoins,joined
reconnaissance,acknowledgement
blagues,jokes
duke,duke
méthode,method
bienvenu,welcome
donnait,gave
gratuit,free
boîtes,cans
marches,steps
Brooklyn,Brooklyn
valises,bags
enfermé,shut in
gants,gloves
rompu,broken
coïncidence,coincidence
vilain,ugly
poing,fist
britannique,British
dispute,dispute
trahison,treason
téléphoné,telephone
août,August
feuilles,sheets
quatrième,fourth
révérend,reverend
censée,supposed
devaient,were to
placé,square
ténèbres,darkness
enfui,fled
impliqué,implied
vire,fired
pilules,pills
préfères,prefer
for,for
population,population
manges,eat
pleuré,cry
chasseur,hunter
livraison,delivery
reprend,resumes
emporte,prevails
louer,to rent out
mette,put
bizarres,weird
torture,torture
remarquable,remarkable
termes,terms
journalistes,journalists
honnêtement,honestly
câble,cable
longs,long
estime,valued
démons,demons
impôts,taxes
massacre,massacre
pomme,Apple
autoroute,highway
sociale,social
moyenne,medium
ingénieur,engineer
doug,doug
péchés,sins
laissent,leave
tarder,delay
divine,Divine
éloigner,remove
clan,clan
obligée,obliged
xena,xena
merveille,wonder
concentrer,focus
venons,just
opéra,opera
oxygène,oxygen
sexuel,sexual
industrie,industry
aimerai,love
z,z
sortons,go out
accent,accent
lawrence,lawrence
gris,Grey
sean,sean
mesures,measures
batterie,drums
toast,toast
postes,posts
communication,communication
manche,handle
grandir,grow
banques,banks
tonnes,tons
gentleman,gentleman
zut,Damn
numéros,numbers
officiel,official
chariot,cart
otages,hostages
prime,premium
poésie,poetry
annuler,to cancel
jersey,Jersey
chagrin,grief
ellen,ellen
déconne,kidding
fabuleux,fabulous
dennis,dennis
complexe,complex
trafic,traffic
trouille,funk
us,us
débrouiller,untangle
commencent,begin
cinquante,fifty
vraies,real
discute,discusses
communiste,Communist
francs,francs
sacrifice,sacrifice
française,French
foie,liver
statue,statue
résistance,resistance
mettra,will
volontiers,gladly
drogues,drugs
cercueil,coffin
pendu,hanged
ignorer,ignore
tireur,shooter
eut,had
piquer,sting
creuser,to dig
médaille,medal
crée,creates
équipement,equipment
phase,phase
chaos,chaos
salue,welcomes
survie,survival
défi,challenge
trouvés,found
rencontrée,met
boum,bang
longues,long
telles,such
arriverai,arrive
gâché,spoils
harris,harris
brigade,brigade
fiers,proud
ennuyeux,boring
cieux,heavens
contient,contains
aile,wing
oignons,onions
vaches,cows
sensation,sensation
chanceux,fortunate
angela,angela
gamine,lassie
cooper,cooper
cessé,ceased
tina,tina
ressemblait,like
plante,plant
scènes,scenes
solitude,solitude
activité,activity
mobile,mobile
principe,principle
rejoint,joined
économie,economy
armés,armed
plastique,plastic
regardent,look
chant,singing
verte,green
couru,ran
regardait,looked
ford,ford
besoins,needs
terroriste,terrorist
assister,assist
bail,lease
roue,wheel
putes,whores
sachez,know
harold,Harold
amenez,bring
génération,generation
causé,caused
entraîneur,coach
rigoles,channels
amanda,amanda
présenté,present
trompez,deceived
mordu,bitten
vampire,vampire
jacques,Jacques
fans,fans
bourré,stuffed
éliminer,eliminate
enfoirés,motherfuckers
freddy,freddy
bloc,block
pourvu,provided
décisions,decisions
eve,Eve
jacob,jacob
symbole,symbol
croirait,think
sagesse,wisdom
politiques,policies
taux,rate
nègre,Negro
jetez,throw
malédiction,curse
masse,mass
phrase,phrasing
pompes,pumps
reconnaissant,grateful
pension,pension
renoncer,to renouncer
sexuelle,sexual
regardant,watching
ordonne,ordered
four,oven
règne,reign
saut,jump
terreur,terror
avaler,swallow
ongles,nails
pratiquement,virtually
laissons,leave
